,OE
0,141.615293
1,127.674846
2,255.76877899999997
3,126.35539599999998
4,124.73360899999999
5,122.94928200000001
6,168.26978100000002
7,165.18493500000002
8,147.33614300000002
9,163.56066400000003
10,116.18992100000001
11,94.204687
12,217.03461899999996
13,879.082402
14,138.96408200000002
15,103.625124
16,127.856046
17,110.184076
18,128.290573
19,283.213457
20,229.81911499999998
21,179.88581799999997
22,287.709409
23,119.938388
24,115.300455
25,109.278834
26,104.47926
27,149.438087
28,119.204115
29,81.73803699999999
30,213.47593999999998
31,147.030614
32,142.451274
33,800.6042259999999
34,32.083522
35,150.32863699999996
36,80.01060799999999
37,71.279901
38,127.187616
39,232.878061
40,154.413879
41,316.42347
42,140.485457
43,122.192339
44,774.7239460000001
45,37.927214
46,86.831726
47,81.408748
48,132.26769199999998
49,134.475304
50,135.715175
51,91.94042900000001
52,129.134617
53,259.55638
54,32.083522
55,873.0281299999999
56,93.99634799999998
57,223.61683299999999
58,199.26117499999998
59,179.95952
60,83.24458200000001
61,132.695797
62,287.470384
63,136.76601300000002
64,37.984393
65,135.871829
66,852.8177190000001
67,134.333834
68,122.07986400000001
69,143.247284
70,806.1180220000001
71,76.768899
72,264.738758
73,283.488501
74,122.70707800000001
75,89.942221
76,154.847469
77,136.26854699999996
78,106.13353799999999
79,267.733165
80,144.13667600000002
81,144.675138
82,86.11927600000001
83,144.60346299999998
84,807.5203750000001
85,105.01403400000001
86,124.559293
87,230.33948099999998
88,892.752309
89,861.203448
90,316.37768
91,317.687846
92,38.026471
93,95.22799700000002
94,141.740808
95,95.73327700000002
96,141.25425699999997
97,199.81289999999996
98,153.307071
99,32.083522
100,86.09432900000002
101,848.96174
102,91.71179599999999
103,265.24739700000003
104,118.422425
105,101.633627
106,38.09428
107,167.345252
108,92.85183
109,147.250591
110,313.98591500000003
111,315.753611
112,789.459558
113,120.372972
114,164.343808
115,144.052981
116,81.68807799999999
117,274.91432799999995
118,145.56392
119,39.135538
120,140.56965599999995
121,790.3612700000001
122,157.865788
123,808.6661140000001
124,155.8309
125,156.927274
126,370.605987
127,219.271094
128,212.115774
129,160.71817699999997
130,132.869431
131,137.138306
132,148.05251599999997
133,94.14500100000001
134,137.28948
135,149.52727299999998
136,284.61305000000004
137,70.452508
138,94.68135799999999
139,242.065466
140,159.893932
141,886.7167360000001
142,38.037635
143,158.78680499999996
144,306.41859700000003
145,255.976604
146,154.497379
147,870.7534459999999
148,803.06185
149,152.51487499999996
150,320.020295
151,230.147564
152,38.011081
153,68.317528
154,112.81581500000001
155,152.521792
156,168.842327
157,171.13879199999997
158,137.02959699999997
159,229.51916799999998
160,175.789096
161,37.973687
162,145.465395
163,148.158895
164,122.01557
165,213.81986
166,38.045342
167,144.442139
168,194.77464600000002
169,116.573519
170,858.1132990000001
171,218.746037
172,123.54339999999999
173,131.961996
174,134.27975800000002
175,216.07219499999997
176,266.49285499999996
177,125.958053
178,79.05851200000001
179,139.81699499999996
180,147.97608399999996
181,100.32523799999998
182,90.823689
183,180.21398399999998
184,144.66547100000003
185,293.739188
186,66.27387999999999
187,172.848787
188,184.490507
189,221.552464
190,256.922222
191,810.631791
192,115.344572
193,146.902265
194,180.55650099999997
195,78.52506299999999
196,140.860409
197,258.84618
198,249.163424
199,825.0161720000001
200,32.083522
201,274.412707
202,38.073042
203,38.014556999999996
204,149.977149
205,148.490115
206,210.63189799999998
207,135.43024400000002
208,139.631346
209,176.701251
210,146.846785
211,257.625644
212,152.376117
213,283.199328
214,218.654764
215,235.20496199999997
216,815.4219049999999
217,147.823359
218,110.21490599999998
219,136.984384
220,110.51362
221,158.437511
222,254.56076399999995
223,38.083633
224,314.430223
225,270.971513
226,811.4208080000001
227,117.33542300000002
228,126.97262599999998
229,144.38875000000002
230,38.012947
231,73.827053
